iter	Passed	Remaining
0	6	6693
1	12	6145
2	21	7000
3	26	6717
4	32	6530
5	38	6390
6	44	6331
7	50	6224
8	55	6158
9	61	6099
10	67	6043
11	72	5980
12	78	5930
13	83	5874
14	88	5835
15	94	5808
16	100	5784
17	105	5775
18	112	5789
19	118	5799
20	125	5849
21	131	5854
22	137	5848
23	144	5859
24	150	5851
25	155	5842
26	162	5840
27	168	5843
28	175	5862
29	180	5823
30	186	5828
31	192	5824
32	199	5838
33	206	5853
34	213	5877
35	219	5874
36	225	5873
37	231	5858
38	237	5846
39	244	5867
40	250	5863
41	256	5854
42	263	5873
43	269	5848
44	274	5833
45	279	5805
46	285	5787
47	290	5770
48	296	5748
49	301	5728
50	307	5713
51	312	5692
52	317	5672
53	322	5658
54	328	5645
55	334	5637
56	340	5627
57	345	5611
58	350	5592
59	356	5583
60	361	5570
61	367	5555
62	372	5543
63	378	5531
64	383	5521
65	389	5510
66	395	5501
67	400	5493
68	406	5484
69	412	5476
70	417	5466
71	423	5454
72	428	5444
73	434	5432
74	439	5424
75	445	5415
76	451	5407
77	456	5399
78	462	5388
79	467	5379
80	473	5369
81	479	5363
82	484	5355
83	490	5347
84	495	5337
85	501	5326
86	509	5342
87	514	5332
88	519	5319
89	524	5308
90	530	5298
91	535	5286
92	541	5276
93	546	5268
94	551	5257
95	557	5246
96	562	5238
97	568	5232
98	573	5220
99	579	5213
100	584	5206
101	590	5196
102	595	5189
103	601	5182
104	607	5176
105	613	5176
106	619	5173
107	625	5165
108	631	5160
109	637	5155
110	642	5148
111	648	5142
112	654	5135
113	659	5127
114	665	5122
115	671	5114
116	677	5110
117	682	5100
118	687	5090
119	693	5082
120	698	5076
121	705	5073
122	710	5066
123	716	5060
124	721	5052
125	727	5043
126	732	5037
127	738	5031
128	744	5024
129	751	5028
130	757	5022
131	762	5015
132	768	5009
133	774	5003
134	780	4998
135	787	5001
136	795	5008
137	802	5011
138	810	5021
139	818	5025
140	824	5025
141	831	5022
142	838	5026
143	845	5026
144	851	5021
145	858	5019
146	867	5031
147	876	5044
148	883	5043
149	889	5042
150	896	5041
151	903	5039
152	910	5038
153	916	5037
154	923	5033
155	928	5025
156	934	5018
157	939	5008
158	945	5000
159	951	4992
160	956	4985
161	962	4979
162	968	4971
163	973	4964
164	979	4956
165	984	4948
166	990	4941
167	1001	4959
168	1007	4952
169	1013	4945
170	1018	4938
171	1024	4930
172	1030	4924
173	1035	4916
174	1041	4909
175	1047	4903
176	1053	4897
177	1059	4891
178	1065	4885
179	1071	4879
180	1076	4872
181	1082	4866
182	1089	4862
183	1094	4854
184	1100	4847
185	1106	4840
186	1111	4831
187	1117	4825
188	1122	4818
189	1128	4811
190	1134	4806
191	1140	4798
192	1145	4791
193	1151	4785
194	1157	4778
195	1163	4771
196	1168	4763
197	1174	4756
198	1179	4749
199	1185	4741
200	1191	4736
201	1197	4731
202	1203	4726
203	1209	4721
204	1216	4716
205	1222	4712
206	1228	4706
207	1234	4700
208	1241	4700
209	1247	4694
